disease,n,p,k,temperature,humidity,severity_level,remedy_with_remedy_capacity
Leaf Spot,123,73,123,19.9,65,Mild,72
Leaf Spot,124,74,124,20,66,Mild,72
Leaf Spot,107,57,107,18.3,60,Mild,73
Leaf Spot,108,58,108,18.4,61,Mild,73
Leaf Spot,109,59,109,18.5,62,Mild,73
Leaf Spot,110,60,110,18.6,63,Mild,73
Leaf Spot,111,61,111,18.7,64,Mild,73
Leaf Spot,112,62,112,18.8,65,Mild,73
Leaf Spot,113,63,113,18.9,66,Mild,73
Leaf Spot,114,64,114,19,67,Mild,73
Leaf Spot,115,65,115,19.1,68,Mild,73
Leaf Spot,116,66,116,19.2,69,Mild,73
Leaf Spot,117,67,117,19.3,70,Mild,73
Leaf Spot,122,72,122,17.2,60,Mild,74
Leaf Spot,123,73,123,17.3,61,Mild,74
Leaf Spot,124,74,124,17.4,62,Mild,74
Leaf Spot,125,75,125,17.5,63,Mild,74
Leaf Spot,100,50,100,17.6,64,Mild,74
Leaf Spot,101,51,101,17.7,65,Mild,74
Leaf Spot,102,52,102,17.8,66,Mild,74
Leaf Spot,103,53,103,17.9,67,Mild,74
Leaf Spot,104,54,104,18,68,Mild,74
Leaf Spot,105,55,105,18.1,69,Mild,74
Leaf Spot,106,56,106,18.2,70,Mild,74
Leaf Spot,112,62,112,16.2,61,Mild,75
Leaf Spot,113,63,113,16.3,62,Mild,75
Leaf Spot,114,64,114,16.4,63,Mild,75
Leaf Spot,115,65,115,16.5,64,Mild,75
Leaf Spot,116,66,116,16.6,65,Mild,75
Leaf Spot,117,67,117,16.7,66,Mild,75
Leaf Spot,118,68,118,16.8,67,Mild,75
Leaf Spot,119,69,119,16.9,68,Mild,75
Leaf Spot,120,70,120,17,69,Mild,75
Leaf Spot,121,71,121,17.1,70,Mild,75
Leaf Spot,100,50,100,15,60,Mild,76
Leaf Spot,101,51,101,15.1,61,Mild,76
Leaf Spot,102,52,102,15.2,62,Mild,76
Leaf Spot,103,53,103,15.3,63,Mild,76
Leaf Spot,104,54,104,15.4,64,Mild,76
Leaf Spot,105,55,105,15.5,65,Mild,76
Leaf Spot,106,56,106,15.6,66,Mild,76
Leaf Spot,107,57,107,15.7,67,Mild,76
Leaf Spot,108,58,108,15.8,68,Mild,76
Leaf Spot,109,59,109,15.9,69,Mild,76
Leaf Spot,110,60,110,16,70,Mild,76
Leaf Spot,111,61,111,16.1,60,Mild,76
Leaf Spot,148,98,148,29.9,60,Mild,77
Leaf Spot,149,99,149,30,61,Mild,77
Leaf Spot,137,87,137,28.8,60,Mild,78
Leaf Spot,138,88,138,28.9,61,Mild,78
Leaf Spot,139,89,139,29,62,Mild,78
Leaf Spot,140,90,140,29.1,63,Mild,78
Leaf Spot,141,91,141,29.2,64,Mild,78
Leaf Spot,142,92,142,29.3,65,Mild,78
Leaf Spot,143,93,143,29.4,66,Mild,78
Leaf Spot,144,94,144,29.5,67,Mild,78
Leaf Spot,145,95,145,29.6,68,Mild,78
Leaf Spot,146,96,146,29.7,69,Mild,78
Leaf Spot,147,97,147,29.8,70,Mild,78
Leaf Spot,126,76,126,27.7,60,Mild,79
Leaf Spot,127,77,127,27.8,61,Mild,79
Leaf Spot,128,78,128,27.9,62,Mild,79
Leaf Spot,129,79,129,28,63,Mild,79
Leaf Spot,130,80,130,28.1,64,Mild,79
Leaf Spot,131,81,131,28.2,65,Mild,79
Leaf Spot,132,82,132,28.3,66,Mild,79
Leaf Spot,133,83,133,28.4,67,Mild,79
Leaf Spot,134,84,134,28.5,68,Mild,79
Leaf Spot,135,85,135,28.6,69,Mild,79
Leaf Spot,136,86,136,28.7,70,Mild,79
Leaf Spot,115,65,115,26.6,60,Mild,80
Leaf Spot,116,66,116,26.7,61,Mild,80
Leaf Spot,117,67,117,26.8,62,Mild,80
Leaf Spot,118,68,118,26.9,63,Mild,80
Leaf Spot,119,69,119,27,64,Mild,80
Leaf Spot,120,70,120,27.1,65,Mild,80
Leaf Spot,121,71,121,27.2,66,Mild,80
Leaf Spot,122,72,122,27.3,67,Mild,80
Leaf Spot,123,73,123,27.4,68,Mild,80
Leaf Spot,124,74,124,27.5,69,Mild,80
Leaf Spot,125,75,125,27.6,70,Mild,80
Leaf Spot,104,54,104,25.5,60,Mild,81
Leaf Spot,105,55,105,25.6,61,Mild,81
Leaf Spot,106,56,106,25.7,62,Mild,81
Leaf Spot,107,57,107,25.8,63,Mild,81
Leaf Spot,108,58,108,25.9,64,Mild,81
Leaf Spot,109,59,109,26,65,Mild,81
Leaf Spot,110,60,110,26.1,66,Mild,81
Leaf Spot,111,61,111,26.2,67,Mild,81
Leaf Spot,112,62,112,26.3,68,Mild,81
Leaf Spot,113,63,113,26.4,69,Mild,81
Leaf Spot,114,64,114,26.5,70,Mild,81
Anthracnose,104,54,104,25.5,60,Mild,81
Anthracnose,105,55,105,25.6,61,Mild,81
Anthracnose,106,56,106,25.7,62,Mild,81
Anthracnose,107,57,107,25.8,63,Mild,81
Anthracnose,108,58,108,25.9,64,Mild,81
Anthracnose,109,59,109,26,65,Mild,81
Anthracnose,110,60,110,26.1,66,Mild,81
Anthracnose,111,61,111,26.2,67,Mild,81
Anthracnose,112,62,112,26.3,68,Mild,81
Anthracnose,113,63,113,26.4,69,Mild,81
Anthracnose,114,64,114,26.5,70,Mild,81
Leaf Spot,143,93,143,24.3,70,Mild,82
Leaf Spot,144,94,144,24.4,60,Mild,82
Leaf Spot,145,95,145,24.5,61,Mild,82
Leaf Spot,146,96,146,24.6,62,Mild,82
Leaf Spot,147,97,147,24.7,63,Mild,82
Leaf Spot,148,98,148,24.8,64,Mild,82
Leaf Spot,149,99,149,24.9,65,Mild,82
Leaf Spot,150,100,150,25,66,Mild,82
Leaf Spot,100,50,100,25.1,67,Mild,82
Leaf Spot,101,51,101,25.2,68,Mild,82
Leaf Spot,102,52,102,25.3,69,Mild,82
Leaf Spot,103,53,103,25.4,70,Mild,82
Anthracnose,143,93,143,24.3,70,Mild,82
Anthracnose,144,94,144,24.4,60,Mild,82
Anthracnose,145,95,145,24.5,61,Mild,82
Anthracnose,146,96,146,24.6,62,Mild,82
Anthracnose,147,97,147,24.7,63,Mild,82
Anthracnose,148,98,148,24.8,64,Mild,82
Anthracnose,149,99,149,24.9,65,Mild,82
Anthracnose,150,100,150,25,66,Mild,82
Anthracnose,100,50,100,25.1,67,Mild,82
Anthracnose,101,51,101,25.2,68,Mild,82
Anthracnose,102,52,102,25.3,69,Mild,82
Anthracnose,103,53,103,25.4,70,Mild,82
Leaf Spot,133,83,133,23.3,60,Mild,83
Leaf Spot,134,84,134,23.4,61,Mild,83
Leaf Spot,135,85,135,23.5,62,Mild,83
Leaf Spot,136,86,136,23.6,63,Mild,83
Leaf Spot,137,87,137,23.7,64,Mild,83
Leaf Spot,138,88,138,23.8,65,Mild,83
Leaf Spot,139,89,139,23.9,66,Mild,83
Leaf Spot,140,90,140,24,67,Mild,83
Leaf Spot,141,91,141,24.1,68,Mild,83
Leaf Spot,142,92,142,24.2,69,Mild,83
Anthracnose,133,83,133,23.3,60,Mild,83
Anthracnose,134,84,134,23.4,61,Mild,83
Anthracnose,135,85,135,23.5,62,Mild,83
Anthracnose,136,86,136,23.6,63,Mild,83
Anthracnose,137,87,137,23.7,64,Mild,83
Anthracnose,138,88,138,23.8,65,Mild,83
Anthracnose,139,89,139,23.9,66,Mild,83
Anthracnose,140,90,140,24,67,Mild,83
Anthracnose,141,91,141,24.1,68,Mild,83
Anthracnose,142,92,142,24.2,69,Mild,83
Leaf Spot,122,72,122,22.2,60,Mild,84
Leaf Spot,123,73,123,22.3,61,Mild,84
Leaf Spot,124,74,124,22.4,62,Mild,84
Leaf Spot,125,75,125,22.5,63,Mild,84
Leaf Spot,126,76,126,22.6,64,Mild,84
Leaf Spot,127,77,127,22.7,65,Mild,84
Leaf Spot,128,78,128,22.8,66,Mild,84
Leaf Spot,129,79,129,22.9,67,Mild,84
Leaf Spot,130,80,130,23,68,Mild,84
Leaf Spot,131,81,131,23.1,69,Mild,84
Leaf Spot,132,82,132,23.2,70,Mild,84
Anthracnose,122,72,122,22.2,60,Mild,84
Anthracnose,123,73,123,22.3,61,Mild,84
Anthracnose,124,74,124,22.4,62,Mild,84
Anthracnose,125,75,125,22.5,63,Mild,84
Anthracnose,126,76,126,22.6,64,Mild,84
Anthracnose,127,77,127,22.7,65,Mild,84
Anthracnose,128,78,128,22.8,66,Mild,84
Anthracnose,129,79,129,22.9,67,Mild,84
Anthracnose,130,80,130,23,68,Mild,84
Anthracnose,131,81,131,23.1,69,Mild,84
Anthracnose,132,82,132,23.2,70,Mild,84
Leaf Spot,111,61,111,21.1,60,Mild,85
Leaf Spot,112,62,112,21.2,61,Mild,85
Leaf Spot,113,63,113,21.3,62,Mild,85
Leaf Spot,114,64,114,21.4,63,Mild,85
Leaf Spot,115,65,115,21.5,64,Mild,85
Leaf Spot,116,66,116,21.6,65,Mild,85
Leaf Spot,117,67,117,21.7,66,Mild,85
Leaf Spot,118,68,118,21.8,67,Mild,85
Leaf Spot,119,69,119,21.9,68,Mild,85
Leaf Spot,120,70,120,22,69,Mild,85
Leaf Spot,121,71,121,22.1,70,Mild,85
Anthracnose,111,61,111,21.1,60,Mild,85
Anthracnose,112,62,112,21.2,61,Mild,85
Anthracnose,113,63,113,21.3,62,Mild,85
Anthracnose,114,64,114,21.4,63,Mild,85
Anthracnose,115,65,115,21.5,64,Mild,85
Anthracnose,116,66,116,21.6,65,Mild,85
Anthracnose,117,67,117,21.7,66,Mild,85
Anthracnose,118,68,118,21.8,67,Mild,85
Anthracnose,119,69,119,21.9,68,Mild,85
Anthracnose,120,70,120,22,69,Mild,85
Anthracnose,121,71,121,22.1,70,Mild,85
Leaf Spot,101,51,101,20.1,61,Mild,86
Leaf Spot,102,52,102,20.2,62,Mild,86
Leaf Spot,103,53,103,20.3,63,Mild,86
Leaf Spot,104,54,104,20.4,64,Mild,86
Leaf Spot,105,55,105,20.5,65,Mild,86
Leaf Spot,106,56,106,20.6,66,Mild,86
Leaf Spot,107,57,107,20.7,67,Mild,86
Leaf Spot,108,58,108,20.8,68,Mild,86
Leaf Spot,109,59,109,20.9,69,Mild,86
Leaf Spot,110,60,110,21,70,Mild,86
Anthracnose,100,50,100,20,60,Mild,86
Anthracnose,101,51,101,20.1,61,Mild,86
Anthracnose,102,52,102,20.2,62,Mild,86
Anthracnose,103,53,103,20.3,63,Mild,86
Anthracnose,104,54,104,20.4,64,Mild,86
Anthracnose,105,55,105,20.5,65,Mild,86
Anthracnose,106,56,106,20.6,66,Mild,86
Anthracnose,107,57,107,20.7,67,Mild,86
Anthracnose,108,58,108,20.8,68,Mild,86
Anthracnose,109,59,109,20.9,69,Mild,86
Anthracnose,110,60,110,21,70,Mild,86
Dieback,110,60,110,26.1,66,Mild,87
Dieback,111,61,111,26.2,67,Mild,87
Dieback,112,62,112,26.3,68,Mild,87
Dieback,113,63,113,26.4,69,Mild,87
Dieback,114,64,114,26.5,70,Mild,87
Dieback,150,100,150,25,66,Mild,88
Dieback,100,50,100,25.1,67,Mild,88
Dieback,101,51,101,25.2,68,Mild,88
Dieback,102,52,102,25.3,69,Mild,88
Dieback,103,53,103,25.4,70,Mild,88
Dieback,104,54,104,25.5,60,Mild,88
Dieback,105,55,105,25.6,61,Mild,88
Dieback,106,56,106,25.7,62,Mild,88
Dieback,107,57,107,25.8,63,Mild,88
Dieback,108,58,108,25.9,64,Mild,88
Dieback,109,59,109,26,65,Mild,88
Leaf Spot,80,40,80,15,85,Mild,88
Dieback,139,89,139,23.9,66,Mild,89
Dieback,140,90,140,24,67,Mild,89
Dieback,141,91,141,24.1,68,Mild,89
Dieback,142,92,142,24.2,69,Mild,89
Dieback,143,93,143,24.3,70,Mild,89
Dieback,144,94,144,24.4,60,Mild,89
Dieback,145,95,145,24.5,61,Mild,89
Dieback,146,96,146,24.6,62,Mild,89
Dieback,147,97,147,24.7,63,Mild,89
Dieback,148,98,148,24.8,64,Mild,89
Dieback,149,99,149,24.9,65,Mild,89
Dieback,128,78,128,22.8,66,Mild,90
Dieback,129,79,129,22.9,67,Mild,90
Dieback,130,80,130,23,68,Mild,90
Dieback,131,81,131,23.1,69,Mild,90
Dieback,132,82,132,23.2,70,Mild,90
Dieback,133,83,133,23.3,60,Mild,90
Dieback,134,84,134,23.4,61,Mild,90
Dieback,135,85,135,23.5,62,Mild,90
Dieback,136,86,136,23.6,63,Mild,90
Dieback,137,87,137,23.7,64,Mild,90
Dieback,138,88,138,23.8,65,Mild,90
Dieback,117,67,117,21.7,66,Mild,91
Dieback,118,68,118,21.8,67,Mild,91
Dieback,119,69,119,21.9,68,Mild,91
Dieback,120,70,120,22,69,Mild,91
Dieback,121,71,121,22.1,70,Mild,91
Dieback,122,72,122,22.2,60,Mild,91
Dieback,123,73,123,22.3,61,Mild,91
Dieback,124,74,124,22.4,62,Mild,91
Dieback,125,75,125,22.5,63,Mild,91
Dieback,126,76,126,22.6,64,Mild,91
Dieback,127,77,127,22.7,65,Mild,91
Dieback,106,56,106,20.6,66,Mild,92
Dieback,107,57,107,20.7,67,Mild,92
Dieback,108,58,108,20.8,68,Mild,92
Dieback,109,59,109,20.9,69,Mild,92
Dieback,110,60,110,21,70,Mild,92
Dieback,111,61,111,21.1,60,Mild,92
Dieback,112,62,112,21.2,61,Mild,92
Dieback,113,63,113,21.3,62,Mild,92
Dieback,114,64,114,21.4,63,Mild,92
Dieback,115,65,115,21.5,64,Mild,92
Dieback,116,66,116,21.6,65,Mild,92
Dieback,100,50,100,20,60,Mild,93
Dieback,101,51,101,20.1,61,Mild,93
Dieback,102,52,102,20.2,62,Mild,93
Dieback,103,53,103,20.3,63,Mild,93
Dieback,104,54,104,20.4,64,Mild,93
Dieback,105,55,105,20.5,65,Mild,93
Leaf Spot,80,40,80,15,50,Mild,93
Dieback,100,50,100,25,50,Mild,93
Root Rot,100,50,100,25,50,Mild,93
Root Rot,100,50,100,25,30,Mild,93
Leaf Spot,100,50,100,40,50,Mild,94
Leaf Spot,100,50,100,25,50,Mild,94
Nutrient Deficiency,148,98,148,29.9,60,Mild,95
Nutrient Deficiency,149,99,149,30,61,Mild,95
Nutrient Deficiency,137,87,137,28.8,60,Mild,96
Nutrient Deficiency,138,88,138,28.9,61,Mild,96
Nutrient Deficiency,139,89,139,29,62,Mild,96
Nutrient Deficiency,140,90,140,29.1,63,Mild,96
Nutrient Deficiency,141,91,141,29.2,64,Mild,96
Nutrient Deficiency,142,92,142,29.3,65,Mild,96
Nutrient Deficiency,143,93,143,29.4,66,Mild,96
Nutrient Deficiency,144,94,144,29.5,67,Mild,96
Nutrient Deficiency,145,95,145,29.6,68,Mild,96
Nutrient Deficiency,146,96,146,29.7,69,Mild,96
Nutrient Deficiency,147,97,147,29.8,70,Mild,96
Nutrient Deficiency,126,76,126,27.7,60,Mild,97
Nutrient Deficiency,127,77,127,27.8,61,Mild,97
Nutrient Deficiency,128,78,128,27.9,62,Mild,97
Nutrient Deficiency,129,79,129,28,63,Mild,97
Nutrient Deficiency,130,80,130,28.1,64,Mild,97
Nutrient Deficiency,131,81,131,28.2,65,Mild,97
Nutrient Deficiency,132,82,132,28.3,66,Mild,97
Nutrient Deficiency,133,83,133,28.4,67,Mild,97
Nutrient Deficiency,134,84,134,28.5,68,Mild,97
Nutrient Deficiency,135,85,135,28.6,69,Mild,97
Nutrient Deficiency,136,86,136,28.7,70,Mild,97
Nutrient Deficiency,115,65,115,26.6,60,Mild,98
Nutrient Deficiency,116,66,116,26.7,61,Mild,98
Nutrient Deficiency,117,67,117,26.8,62,Mild,98
Nutrient Deficiency,118,68,118,26.9,63,Mild,98
Nutrient Deficiency,119,69,119,27,64,Mild,98
Nutrient Deficiency,120,70,120,27.1,65,Mild,98
Nutrient Deficiency,121,71,121,27.2,66,Mild,98
Nutrient Deficiency,122,72,122,27.3,67,Mild,98
Nutrient Deficiency,123,73,123,27.4,68,Mild,98
Nutrient Deficiency,124,74,124,27.5,69,Mild,98
Nutrient Deficiency,125,75,125,27.6,70,Mild,98
Nutrient Deficiency,104,54,104,25.5,60,Mild,99
Nutrient Deficiency,105,55,105,25.6,61,Mild,99
Nutrient Deficiency,106,56,106,25.7,62,Mild,99
Nutrient Deficiency,107,57,107,25.8,63,Mild,99
Nutrient Deficiency,108,58,108,25.9,64,Mild,99
Nutrient Deficiency,109,59,109,26,65,Mild,99
Nutrient Deficiency,110,60,110,26.1,66,Mild,99
Nutrient Deficiency,111,61,111,26.2,67,Mild,99
Nutrient Deficiency,112,62,112,26.3,68,Mild,99
Nutrient Deficiency,113,63,113,26.4,69,Mild,99
Nutrient Deficiency,114,64,114,26.5,70,Mild,99
Nutrient Deficiency,144,94,144,24.4,60,Mild,100
Nutrient Deficiency,145,95,145,24.5,61,Mild,100
Nutrient Deficiency,146,96,146,24.6,62,Mild,100
Nutrient Deficiency,147,97,147,24.7,63,Mild,100
Nutrient Deficiency,148,98,148,24.8,64,Mild,100
Nutrient Deficiency,149,99,149,24.9,65,Mild,100
Nutrient Deficiency,150,100,150,25,66,Mild,100
Nutrient Deficiency,100,50,100,25.1,67,Mild,100
Nutrient Deficiency,101,51,101,25.2,68,Mild,100
Nutrient Deficiency,102,52,102,25.3,69,Mild,100
Nutrient Deficiency,103,53,103,25.4,70,Mild,100
Nutrient Deficiency,133,83,133,23.3,60,Mild,101
Nutrient Deficiency,134,84,134,23.4,61,Mild,101
Nutrient Deficiency,135,85,135,23.5,62,Mild,101
Nutrient Deficiency,136,86,136,23.6,63,Mild,101
Nutrient Deficiency,137,87,137,23.7,64,Mild,101
Nutrient Deficiency,138,88,138,23.8,65,Mild,101
Nutrient Deficiency,139,89,139,23.9,66,Mild,101
Nutrient Deficiency,140,90,140,24,67,Mild,101
Nutrient Deficiency,141,91,141,24.1,68,Mild,101
Nutrient Deficiency,142,92,142,24.2,69,Mild,101
Nutrient Deficiency,143,93,143,24.3,70,Mild,101
Nutrient Deficiency,122,72,122,22.2,60,Mild,102
Nutrient Deficiency,123,73,123,22.3,61,Mild,102
Nutrient Deficiency,124,74,124,22.4,62,Mild,102
Nutrient Deficiency,125,75,125,22.5,63,Mild,102
Nutrient Deficiency,126,76,126,22.6,64,Mild,102
Nutrient Deficiency,127,77,127,22.7,65,Mild,102
Nutrient Deficiency,128,78,128,22.8,66,Mild,102
Nutrient Deficiency,129,79,129,22.9,67,Mild,102
Nutrient Deficiency,130,80,130,23,68,Mild,102
Nutrient Deficiency,131,81,131,23.1,69,Mild,102
Nutrient Deficiency,132,82,132,23.2,70,Mild,102
Nutrient Deficiency,111,61,111,21.1,60,Mild,103
Nutrient Deficiency,112,62,112,21.2,61,Mild,103
Nutrient Deficiency,113,63,113,21.3,62,Mild,103
Nutrient Deficiency,114,64,114,21.4,63,Mild,103
Nutrient Deficiency,115,65,115,21.5,64,Mild,103
Nutrient Deficiency,116,66,116,21.6,65,Mild,103
Nutrient Deficiency,117,67,117,21.7,66,Mild,103
Nutrient Deficiency,118,68,118,21.8,67,Mild,103
Nutrient Deficiency,119,69,119,21.9,68,Mild,103
Nutrient Deficiency,120,70,120,22,69,Mild,103
Nutrient Deficiency,121,71,121,22.1,70,Mild,103
Nutrient Deficiency,100,50,100,20,60,Mild,104
Nutrient Deficiency,101,51,101,20.1,61,Mild,104
Nutrient Deficiency,102,52,102,20.2,62,Mild,104
Nutrient Deficiency,103,53,103,20.3,63,Mild,104
Nutrient Deficiency,104,54,104,20.4,64,Mild,104
Nutrient Deficiency,105,55,105,20.5,65,Mild,104
Nutrient Deficiency,106,56,106,20.6,66,Mild,104
Nutrient Deficiency,107,57,107,20.7,67,Mild,104
Nutrient Deficiency,108,58,108,20.8,68,Mild,104
Nutrient Deficiency,109,59,109,20.9,69,Mild,104
Nutrient Deficiency,110,60,110,21,70,Mild,104
Waterlogging,100,50,100,25,50,Mild,136
Salinity Stress,147,97,147,29.8,70,Mild,137
Salinity Stress,148,98,148,29.9,60,Mild,137
Salinity Stress,149,99,149,30,61,Mild,137
Salinity Stress,136,86,136,28.7,70,Mild,138
Salinity Stress,137,87,137,28.8,60,Mild,138
Salinity Stress,138,88,138,28.9,61,Mild,138
Salinity Stress,139,89,139,29,62,Mild,138
Salinity Stress,140,90,140,29.1,63,Mild,138
Salinity Stress,141,91,141,29.2,64,Mild,138
Salinity Stress,142,92,142,29.3,65,Mild,138
Salinity Stress,143,93,143,29.4,66,Mild,138
Salinity Stress,144,94,144,29.5,67,Mild,138
Salinity Stress,145,95,145,29.6,68,Mild,138
Salinity Stress,146,96,146,29.7,69,Mild,138
Salinity Stress,124,74,124,27.5,69,Mild,139
Salinity Stress,125,75,125,27.6,70,Mild,139
Salinity Stress,126,76,126,27.7,60,Mild,139
Salinity Stress,127,77,127,27.8,61,Mild,139
Salinity Stress,128,78,128,27.9,62,Mild,139
Salinity Stress,129,79,129,28,63,Mild,139
Salinity Stress,130,80,130,28.1,64,Mild,139
Salinity Stress,131,81,131,28.2,65,Mild,139
Salinity Stress,132,82,132,28.3,66,Mild,139
Salinity Stress,133,83,133,28.4,67,Mild,139
Salinity Stress,134,84,134,28.5,68,Mild,139
Salinity Stress,135,85,135,28.6,69,Mild,139
Salinity Stress,115,65,115,26.6,60,Mild,140
Salinity Stress,116,66,116,26.7,61,Mild,140
Salinity Stress,117,67,117,26.8,62,Mild,140
Salinity Stress,118,68,118,26.9,63,Mild,140
Salinity Stress,119,69,119,27,64,Mild,140
Salinity Stress,120,70,120,27.1,65,Mild,140
Salinity Stress,121,71,121,27.2,66,Mild,140
Salinity Stress,122,72,122,27.3,67,Mild,140
Salinity Stress,123,73,123,27.4,68,Mild,140
Salinity Stress,104,54,104,25.5,60,Mild,141
Salinity Stress,105,55,105,25.6,61,Mild,141
Salinity Stress,106,56,106,25.7,62,Mild,141
Salinity Stress,107,57,107,25.8,63,Mild,141
Salinity Stress,108,58,108,25.9,64,Mild,141
Salinity Stress,109,59,109,26,65,Mild,141
Salinity Stress,110,60,110,26.1,66,Mild,141
Salinity Stress,111,61,111,26.2,67,Mild,141
Salinity Stress,112,62,112,26.3,68,Mild,141
Salinity Stress,113,63,113,26.4,69,Mild,141
Salinity Stress,114,64,114,26.5,70,Mild,141
Salinity Stress,144,94,144,24.4,60,Mild,142
Salinity Stress,145,95,145,24.5,61,Mild,142
Salinity Stress,146,96,146,24.6,62,Mild,142
Salinity Stress,147,97,147,24.7,63,Mild,142
Salinity Stress,148,98,148,24.8,64,Mild,142
Salinity Stress,149,99,149,24.9,65,Mild,142
Salinity Stress,150,100,150,25,66,Mild,142
Salinity Stress,100,50,100,25.1,67,Mild,142
Salinity Stress,101,51,101,25.2,68,Mild,142
Salinity Stress,102,52,102,25.3,69,Mild,142
Salinity Stress,103,53,103,25.4,70,Mild,142
Salinity Stress,133,83,133,23.3,60,Mild,143
Salinity Stress,134,84,134,23.4,61,Mild,143
Salinity Stress,135,85,135,23.5,62,Mild,143
Salinity Stress,136,86,136,23.6,63,Mild,143
Salinity Stress,137,87,137,23.7,64,Mild,143
Salinity Stress,138,88,138,23.8,65,Mild,143
Salinity Stress,139,89,139,23.9,66,Mild,143
Salinity Stress,140,90,140,24,67,Mild,143
Salinity Stress,141,91,141,24.1,68,Mild,143
Salinity Stress,142,92,142,24.2,69,Mild,143
Salinity Stress,143,93,143,24.3,70,Mild,143
Salinity Stress,122,72,122,22.2,60,Mild,144
Salinity Stress,123,73,123,22.3,61,Mild,144
Salinity Stress,124,74,124,22.4,62,Mild,144
Salinity Stress,125,75,125,22.5,63,Mild,144
Salinity Stress,126,76,126,22.6,64,Mild,144
Salinity Stress,127,77,127,22.7,65,Mild,144
Salinity Stress,128,78,128,22.8,66,Mild,144
Salinity Stress,129,79,129,22.9,67,Mild,144
Salinity Stress,130,80,130,23,68,Mild,144
Salinity Stress,131,81,131,23.1,69,Mild,144
Salinity Stress,132,82,132,23.2,70,Mild,144
Salinity Stress,111,61,111,21.1,60,Mild,145
Salinity Stress,112,62,112,21.2,61,Mild,145
Salinity Stress,113,63,113,21.3,62,Mild,145
Salinity Stress,114,64,114,21.4,63,Mild,145
Salinity Stress,115,65,115,21.5,64,Mild,145
Salinity Stress,116,66,116,21.6,65,Mild,145
Salinity Stress,117,67,117,21.7,66,Mild,145
Salinity Stress,118,68,118,21.8,67,Mild,145
Salinity Stress,119,69,119,21.9,68,Mild,145
Salinity Stress,120,70,120,22,69,Mild,145
Salinity Stress,121,71,121,22.1,70,Mild,145
Salinity Stress,100,50,100,20,60,Mild,146
Salinity Stress,101,51,101,20.1,61,Mild,146
Salinity Stress,102,52,102,20.2,62,Mild,146
Salinity Stress,103,53,103,20.3,63,Mild,146
